goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	298280242	         4.044 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	301351605	         4.022 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	299098005	         4.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	300698526	         4.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1021 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1030 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1036 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1025 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	  997654	      1028 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1036 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1025 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1028 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1033 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/current-16                                   	 1000000	      1020 ns/op	    1928 B/op	       9 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1224121	       978.3 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1219401	       974.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1224140	       964.1 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1225566	       975.8 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1217403	       988.7 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1228921	       987.5 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1219407	       981.7 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1227356	       977.1 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1233777	       986.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1226167	       985.9 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/shallow-copy-16                              	 4833853	       246.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4824006	       250.6 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4801471	       246.6 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4542080	       251.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4718458	       250.3 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4838476	       250.1 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4738144	       249.3 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4808155	       246.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4604095	       251.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4781606	       249.0 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/dispatch-only-16                             	10873028	       111.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10412115	       112.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10639304	       112.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10904329	       111.5 ns/op	     384 B/op	       1 allocs/op
