goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkFileServe/Logger-with-ReaderFrom/16k.js-16         	    8046	    146646 ns/op	    8491 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/16k.js-16         	    7900	    144861 ns/op	    8541 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/128k.js-16        	    6496	    185333 ns/op	    8544 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/128k.js-16        	    6450	    185040 ns/op	    8470 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/128k.js-16        	    6304	    186429 ns/op	    8458 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/large.bin-16      	    1903	    611269 ns/op	    8749 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/large.bin-16      	    1971	    602041 ns/op	    8595 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/large.bin-16      	    1976	    604733 ns/op	    8706 B/op	     102 allocs/op
BenchmarkSetHeaderX4/current-16                             	 6618391	       177.6 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16                             	 6528470	       176.7 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/current-16                             	 6588142	       178.1 ns/op	      64 B/op	       4 allocs/op
BenchmarkSetHeaderX4/alternative-16                         	10224282	       115.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16                         	10310677	       114.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetHeaderX4/alternative-16                         	10476385	       119.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                                    	19452949	        61.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkText/current-16                                    	19922152	        60.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkText/current-16                                    	20065658	        60.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkText/alternative-16                                	26885486	        45.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16                                	26894703	        45.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16                                	27100914	        44.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONHelper-16                                      	 2357376	       519.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                                      	 2322462	       514.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkJSONHelper-16                                      	 2325468	       512.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkXMLHelper-16                                       	  475053	      2333 ns/op	    4676 B/op	      11 allocs/op
BenchmarkXMLHelper-16                                       	  514066	      2330 ns/op	    4676 B/op	      11 allocs/op
BenchmarkXMLHelper-16                                       	  510518	      2345 ns/op	    4676 B/op	      11 allocs/op
BenchmarkHeaderSetConst/Header.Set-16                       	29783288	        38.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16                       	30394293	        38.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16                       	30616785	        38.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16                  	122151686	         9.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16                  	124765010	         9.589 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16                  	125123037	         9.574 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/current-16                                  	  211342	      5664 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/current-16                                  	  211843	      5667 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/current-16                                  	  211096	      5667 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alternative-16                              	  210944	      5664 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alternative-16                              	  211597	      5661 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alternative-16                              	  210062	      5666 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alt-single-clock-only-16                    	  200523	      5922 ns/op	     104 B/op	       5 allocs/op
BenchmarkLogger/alt-single-clock-only-16                    	  200586	      5918 ns/op	     104 B/op	       5 allocs/op
BenchmarkLogger/alt-single-clock-only-16                    	  201579	      5924 ns/op	     104 B/op	       5 allocs/op
BenchmarkLogger/alt-no-alloc-only-16                        	  171052	      7020 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alt-no-alloc-only-16                        	  170022	      7029 ns/op	       0 B/op	       0 allocs/op
BenchmarkLogger/alt-no-alloc-only-16                        	  171010	      7034 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Now-16                                  	  426415	      2751 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Now-16                                  	  427618	      2788 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Now-16                                  	  429432	      2786 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Since-16                                	  845563	      1410 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Since-16                                	  844092	      1411 ns/op	       0 B/op	       0 allocs/op
BenchmarkClock/time.Since-16                                	  849068	      1411 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/QuoteToASCII-path-16                   	 8286817	       145.8 ns/op	      80 B/op	       2 allocs/op
BenchmarkLoggerParts/QuoteToASCII-path-16                   	 8343720	       145.2 ns/op	      80 B/op	       2 allocs/op
BenchmarkLoggerParts/QuoteToASCII-path-16                   	 8191188	       145.6 ns/op	      80 B/op	       2 allocs/op
BenchmarkLoggerParts/appendSanitised-path-16                	82685731	        14.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/appendSanitised-path-16                	80856495	        14.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/appendSanitised-path-16                	81921300	        14.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/Duration.String-16                     	46819759	        25.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoggerParts/Duration.String-16                     	43601576	        25.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoggerParts/Duration.String-16                     	46832522	        25.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoggerParts/appendDuration-16                      	92241724	        12.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/appendDuration-16                      	92739601	        12.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoggerParts/appendDuration-16                      	89527090	        12.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedirectTrailingSlashWithMiddleware-16             	  152029	      7709 ns/op	    1315 B/op	      11 allocs/op
BenchmarkRedirectTrailingSlashWithMiddleware-16             	  154124	      7769 ns/op	    1318 B/op	      11 allocs/op
BenchmarkRedirectTrailingSlashWithMiddleware-16             	  152940	      7779 ns/op	    1318 B/op	      11 allocs/op
BenchmarkMatchedRouteWithMiddleware-16                      	  174123	      6868 ns/op	     873 B/op	       7 allocs/op
BenchmarkMatchedRouteWithMiddleware-16                      	  173328	      6860 ns/op	     874 B/op	       7 allocs/op
BenchmarkMatchedRouteWithMiddleware-16                      	  173680	      6845 ns/op	     873 B/op	       7 allocs/op
BenchmarkRedirectTrailingSlashNoMiddleware-16               	 4480681	       263.4 ns/op	      80 B/op	       2 allocs/op
BenchmarkRedirectTrailingSlashNoMiddleware-16               	 4697734	       258.9 ns/op	      80 B/op	       2 allocs/op
BenchmarkRedirectTrailingSlashNoMiddleware-16               	 4668351	       255.0 ns/op	      80 B/op	       2 allocs/op
BenchmarkMethodNotAllowed-16                                	 7576792	       154.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                                	 7486176	       155.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkMethodNotAllowed-16                                	 7562898	       156.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkAutoOPTIONS-16                                     	 9112198	       132.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkAutoOPTIONS-16                                     	 8925088	       133.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkAutoOPTIONS-16                                     	 9020968	       132.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticDispatch-16                                  	51423837	        23.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDispatch-16                                  	51086541	        23.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDispatch-16                                  	50444892	        23.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDispatchMixedTree-16                         	39064369	        30.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDispatchMixedTree-16                         	39196440	        30.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticDispatchMixedTree-16                         	39206278	        30.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegisterRoutes/N=100-16                            	   17865	     66404 ns/op	       664.0 ns/route	   88384 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16                            	   18686	     64424 ns/op	       644.2 ns/route	   88384 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16                            	   18840	     64178 ns/op	       641.8 ns/route	   88384 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=1000-16                           	    1563	    773204 ns/op	       773.2 ns/route	 1091124 B/op	   13405 allocs/op
BenchmarkRegisterRoutes/N=1000-16                           	    1584	    774346 ns/op	       774.3 ns/route	 1091120 B/op	   13405 allocs/op
BenchmarkRegisterRoutes/N=1000-16                           	    1524	    769584 ns/op	       769.6 ns/route	 1091120 B/op	   13405 allocs/op
BenchmarkRegisterRoutes/N=5000-16                           	     249	   4793443 ns/op	       958.7 ns/route	 6379716 B/op	   75938 allocs/op
BenchmarkRegisterRoutes/N=5000-16                           	     250	   4782473 ns/op	       956.5 ns/route	 6379723 B/op	   75938 allocs/op
BenchmarkRegisterRoutes/N=5000-16                           	     252	   4827844 ns/op	       965.6 ns/route	 6379724 B/op	   75938 allocs/op
BenchmarkRealIP/1-hop/current-16                            	 8313151	       142.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop/current-16                            	 8402588	       142.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop/current-16                            	 8416513	       142.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop/alternative-16                        	 8046570	       147.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop/alternative-16                        	 8047554	       148.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop/alternative-16                        	 8078824	       147.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/current-16                           	 6480712	       184.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/current-16                           	 6494710	       184.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/current-16                           	 6494259	       184.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/alternative-16                       	 6515100	       182.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/alternative-16                       	 6514941	       182.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops/alternative-16                       	 6548277	       182.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/current-16     	10249042	       117.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/current-16     	10293720	       116.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/current-16     	10296705	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alternative-16 	10959416	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alternative-16 	10861008	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alternative-16 	11013219	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-timer-fastpath-only-16         	 1630340	       734.4 ns/op	     128 B/op	       2 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-timer-fastpath-only-16         	 1622437	       734.2 ns/op	     128 B/op	       2 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-timer-fastpath-only-16         	 1635164	       738.0 ns/op	     128 B/op	       2 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-entry-reuse-only-16            	  357925	      3299 ns/op	     248 B/op	       3 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-entry-reuse-only-16            	  361542	      3293 ns/op	     248 B/op	       3 allocs/op
BenchmarkThrottlePerIP/sequential-one-client/alt-entry-reuse-only-16            	  359037	      3296 ns/op	     248 B/op	       3 allocs/op
BenchmarkThrottlePerIP/many-clients/current-16                                  	 9753694	       121.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients/current-16                                  	 9629242	       120.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients/current-16                                  	 9973125	       123.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients/alternative-16                              	10826509	       130.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients/alternative-16                              	10788284	       111.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkThrottlePerIP/many-clients/alternative-16                              	10716882	       111.8 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench	286.553s
