goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkChiParamRoute2-16                       	 2941420	       405.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                       	 2964932	       409.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                       	 2966644	       402.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                       	 2899662	       415.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                       	 2901573	       416.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                       	 2902566	       415.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                     	 3639813	       334.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                     	 3660036	       334.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                     	 3627723	       332.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiNotFound-16                          	 3145363	       347.1 ns/op	     458 B/op	       5 allocs/op
BenchmarkChiNotFound-16                          	 3158809	       345.5 ns/op	     458 B/op	       5 allocs/op
BenchmarkChiNotFound-16                          	 3132980	       346.5 ns/op	     458 B/op	       5 allocs/op
BenchmarkChiParallelStaticRoute-16               	 9102279	       133.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelStaticRoute-16               	 9022291	       133.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelStaticRoute-16               	 9090668	       135.6 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelParamRoute-16                	 5118892	       233.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16                	 5163475	       231.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16                	 5166330	       232.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkMuxMasterFastStaticRoute-16             	37959411	        31.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16             	39827821	        30.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16             	40383588	        30.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParamRoute1-16             	24117484	        47.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16             	24370074	        47.96 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16             	24488412	        47.71 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16             	17533759	        67.38 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16             	17646672	        67.78 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16             	17439897	        67.82 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16             	14349146	        82.96 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16             	14345144	        82.78 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16             	14394129	        83.34 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16           	24100502	        48.59 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16           	24396096	        48.48 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16           	24268563	        48.73 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16     	263011840	         4.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16     	260629945	         4.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16     	263508712	         4.600 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16      	74213802	        16.99 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16      	71070640	        17.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16      	69879175	        17.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterPooledStaticRoute-16           	36334128	        32.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledStaticRoute-16           	39116844	        30.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledStaticRoute-16           	39191436	        30.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute1-16           	25259082	        46.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute1-16           	26210287	        46.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute1-16           	24600259	        46.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute2-16           	19618428	        60.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute2-16           	19738600	        60.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute2-16           	20159053	        60.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute3-16           	17601657	        67.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute3-16           	17932534	        67.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParamRoute3-16           	17852990	        67.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledWildcardRoute-16         	24638605	        46.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledWildcardRoute-16         	25686088	        47.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledWildcardRoute-16         	25922094	        46.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParallelParamRoute-16    	171666444	         7.057 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParallelParamRoute-16    	168341580	         7.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterPooledParallelParamRoute-16    	166660885	         7.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkGorillaMuxStaticRoute-16                	 2041195	       578.7 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16                	 2063644	       580.6 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxStaticRoute-16                	 2072049	       578.9 ns/op	     848 B/op	       7 allocs/op
BenchmarkGorillaMuxParamRoute1-16                	 1256718	       959.7 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16                	 1257998	       954.7 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute1-16                	 1254694	       954.6 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16                	  725680	      1503 ns/op	    1169 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16                	  729607	      1494 ns/op	    1169 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute2-16                	  742760	      1497 ns/op	    1169 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16                	  648722	      1722 ns/op	    1185 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16                	  651380	      1729 ns/op	    1185 B/op	       8 allocs/op
BenchmarkGorillaMuxParamRoute3-16                	  655131	      1734 ns/op	    1185 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16              	  681584	      1611 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16              	  704929	      1611 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxWildcardRoute-16              	  695385	      1606 ns/op	    1152 B/op	       8 allocs/op
BenchmarkGorillaMuxNotFound-16                   	 1000000	      1036 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16                   	 1000000	      1029 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxNotFound-16                   	 1000000	      1034 ns/op	     163 B/op	       4 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16        	 3523416	       344.0 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16        	 3440466	       345.6 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelStaticRoute-16        	 3472938	       346.1 ns/op	     849 B/op	       7 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16         	 2647506	       455.5 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16         	 2626562	       465.4 ns/op	    1153 B/op	       8 allocs/op
BenchmarkGorillaMuxParallelParamRoute-16         	 2618128	       456.8 ns/op	    1153 B/op	       8 allocs/op
PASS
ok  	competitor/bench	221.174s
