goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkHeaderSetConst/Header.Set-16      	30550953	        38.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	30821853	        37.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	31116748	        37.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	30660534	        37.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	123167112	         9.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	121609596	         9.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	121859222	         9.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	124483436	         9.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	122792955	         9.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	121461668	         9.721 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench	142.453s
