goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParamsFromContext-16                    	 8948936	       132.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2622608	       456.6 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2608201	       458.1 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2598434	       457.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2612146	       462.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2576937	       464.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2570164	       465.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2551071	       461.7 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2594626	       462.8 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2597925	       462.2 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2594190	       466.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2757555	       435.0 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2762544	       437.1 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2736553	       435.6 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2760868	       436.5 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2736573	       437.8 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2746798	       437.6 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2747155	       437.2 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2753301	       436.2 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2759665	       436.3 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2736356	       437.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5686118	       206.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5763201	       207.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5787381	       207.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5708871	       207.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5697622	       207.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5726286	       208.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5666925	       207.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5782512	       207.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5821662	       207.7 ns/op	      48 B/op	       2 allocs/op
