goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParamsFromContext-16                    	 9715010	       124.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9843694	       123.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9732074	       125.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9859669	       122.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9685334	       124.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2755566	       438.9 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2725957	       438.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2727058	       439.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2754420	       436.9 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2750133	       438.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2737312	       438.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2732596	       441.1 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2739832	       438.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2725273	       437.1 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2718769	       437.1 ns/op	     416 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2878453	       418.2 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2867397	       417.3 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2861336	       418.5 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2894120	       417.4 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2850680	       418.0 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2868064	       417.4 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2871348	       418.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2855698	       426.3 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2816413	       417.6 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2858730	       417.4 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5954630	       201.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5818947	       201.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5991079	       201.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5947038	       202.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5913781	       200.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5886376	       200.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5872635	       201.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5983546	       201.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5990469	       201.0 ns/op	      48 B/op	       2 allocs/op
