goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkPathParamLookup-16                      	10485680	       108.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11341202	       107.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11255060	       107.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11036773	       106.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10982684	       106.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11218946	       107.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11047765	       109.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10769016	       106.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	11284449	       107.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32722924	        34.78 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33335648	        34.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33041654	        34.74 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33497671	        35.08 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33926277	        34.87 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33121782	        34.72 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33225028	        34.89 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	33482394	        34.64 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32907428	        34.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32895016	        35.13 ns/op	      32 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10311972	       118.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10427791	       117.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10135832	       118.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10128256	       118.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10087452	       118.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9993739	       118.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10220068	       118.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10018358	       118.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10089318	       119.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	10018293	       119.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2653302	       453.1 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2667572	       451.6 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2605228	       462.5 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2646567	       453.9 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2652034	       453.1 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2656314	       453.2 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2668462	       451.9 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2662260	       451.1 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2664877	       453.5 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Hit-16                	 2645337	       452.3 ns/op	     448 B/op	       7 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2830954	       422.1 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2818004	       426.4 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2840916	       427.5 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2809743	       426.3 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2827081	       424.4 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2810256	       421.8 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2791752	       433.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2818858	       425.7 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2796994	       433.3 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_APIKey_Miss-16               	 2818108	       423.2 ns/op	      96 B/op	       6 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6079677	       194.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 5984656	       195.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6070550	       194.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6142882	       193.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6142600	       196.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6069847	       195.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6072739	       194.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6120550	       195.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6001228	       195.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Hit-16             	 6158294	       195.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2215122	       539.5 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2220046	       536.3 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2210816	       538.1 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2231492	       534.5 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2236569	       536.9 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2230174	       537.8 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2199271	       543.6 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2221576	       538.9 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2216619	       542.0 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_BasicAuth_Miss-16            	 2218480	       537.3 ns/op	     152 B/op	       8 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60898798	        20.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60780955	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60370062	        20.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	61207070	        20.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60373876	        20.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	61311902	        20.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58812775	        20.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	60715227	        20.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	58379935	        20.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Clean-16           	59014376	        20.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4328552	       279.0 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4234281	       284.2 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4283812	       278.5 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4302686	       278.4 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4211770	       281.9 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4239500	       278.8 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4332132	       279.5 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4210884	       283.1 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4337335	       280.1 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_CleanPath_Dirty-16           	 4329752	       279.1 ns/op	     552 B/op	       5 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	33108721	        37.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	31909447	        37.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	32407794	        37.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	32120679	        37.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	33439213	        37.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	32212454	        37.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	32263990	        37.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	31693837	        37.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	31453172	        37.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_NoGzip-16           	31456743	        37.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 3050929	       388.6 ns/op	     680 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2983153	       408.2 ns/op	     682 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2781538	       403.6 ns/op	     689 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2898675	       405.7 ns/op	     685 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2996136	       406.1 ns/op	     682 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2870517	       396.9 ns/op	     686 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2884706	       396.0 ns/op	     685 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2974194	       392.3 ns/op	     682 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2953452	       394.9 ns/op	     683 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_SmallBody-16        	 2900977	       397.0 ns/op	     685 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1559146	       770.5 ns/op	    2857 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1547739	       780.7 ns/op	    2857 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1492236	       770.6 ns/op	    2861 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1537648	       802.5 ns/op	    2858 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1529589	       768.0 ns/op	    2858 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1499214	       780.0 ns/op	    2860 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1538394	       762.6 ns/op	    2858 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1537663	       762.4 ns/op	    2858 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1599429	       787.0 ns/op	    2854 B/op	       2 allocs/op
BenchmarkMiddleware_Compress_LargeBody-16        	 1544382	       759.3 ns/op	    2858 B/op	       2 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	44395054	        26.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	44932476	        26.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	45423908	        26.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	45728318	        26.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	46039425	        26.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	48103838	        26.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	46534324	        26.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	45880218	        26.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	45027026	        26.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_NoOrigin-16             	45463449	        26.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 6047382	       197.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5899941	       199.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5961373	       198.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5855856	       201.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5914838	       199.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 6043050	       198.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 5908466	       201.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 6033738	       198.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 6061977	       198.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_AllowedOrigin-16        	 6002980	       198.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5411632	       219.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5378878	       218.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5461016	       220.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5514453	       219.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5473368	       219.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5434120	       221.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5373408	       220.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5383960	       222.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5455970	       219.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkMiddleware_CORS_Preflight-16            	 5389620	       219.9 ns/op	     416 B/op	       3 allocs/op
2026/09/25 11:54:42 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
BenchmarkMiddleware_JWTAuth_HS256_Hit-16         	2026/09/25 11:54:42 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
2026/09/25 11:54:42 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
2026/09/25 11:54:42 WARN JWTAuth: RequireExpiry=false — tokens without an "exp" claim are accepted. RFC 8725 §4.4 recommends RequireExpiry=true so that tokens cannot be replayed indefinitely.
  254920	      4617 ns/op	     866 B/op	      10 allocs/op
