goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkHTTProuterParallelStaticRoute-16        	499935625	         4.836 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	498677602	         4.818 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	497608856	         4.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	494016727	         4.872 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	489033438	         4.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.14 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	99826310	        23.22 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	99882600	        23.26 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.36 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.08 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.29 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	99993342	        23.34 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	99669958	        23.38 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.23 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	100000000	        23.20 ns/op	      64 B/op	       1 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12244548	       200.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	11974350	       198.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12739142	       202.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12039039	       195.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12608140	       199.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12160766	       199.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	11501648	       201.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	11656539	       193.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12597612	       197.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	12412495	       197.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	12954320	       195.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	11766417	       191.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	11916704	       193.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	12910250	       197.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	11794911	       189.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	12492402	       196.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	12133744	       201.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	11787099	       198.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	12074048	       187.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	13025985	       194.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11369490	       214.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11694567	       210.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11408038	       213.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11395750	       213.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11677995	       216.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11660449	       213.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11137303	       210.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11848268	       211.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	10291018	       210.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	11761256	       212.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11819326	       209.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	10691256	       216.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11648709	       214.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11624298	       217.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	10501906	       214.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	11410576	       209.4 ns/op	     416 B/op	       3 allocs/op
