goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkChiParallelStaticRoute-16              	 8124488	       163.3 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelStaticRoute-16              	 6802904	       177.1 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelStaticRoute-16              	 8056608	       147.3 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelParamRoute-16               	 4728360	       258.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16               	 4500980	       269.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16               	 4037887	       322.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16               	 4214872	       258.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParallelParamRoute-16               	 4670689	       263.8 ns/op	     704 B/op	       4 allocs/op
BenchmarkMuxMasterFastStaticRoute-16            	36014632	        38.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16            	27515773	        41.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16            	33594756	        34.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16            	35536315	        35.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastStaticRoute-16            	37831909	        35.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParamRoute1-16            	15156410	        83.86 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16            	15232220	        69.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16            	18713474	        66.72 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16            	19790620	        65.09 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute1-16            	18850312	        72.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16            	11363251	       108.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16            	13631824	        85.73 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16            	13350403	        84.51 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16            	13752886	        86.73 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute2-16            	13833642	        81.78 ns/op	      64 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16            	12709280	        91.63 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16            	13353142	        96.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16            	11689178	        97.64 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16            	12504968	        97.21 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastParamRoute3-16            	12070921	        99.21 ns/op	      96 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16          	17231881	        68.70 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16          	17804245	        68.66 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16          	16605411	       257.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16          	 3752436	       354.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastWildcardRoute-16          	 4303369	       308.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16    	97765950	        10.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16    	134138084	         9.223 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16    	129182433	         9.609 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16    	229373935	         5.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelStaticRoute-16    	230690304	         5.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16     	48057346	        25.37 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16     	46246051	        26.12 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16     	45300482	        25.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16     	54074384	        98.87 ns/op	      32 B/op	       1 allocs/op
BenchmarkMuxMasterFastParallelParamRoute-16     	11991232	       100.9 ns/op	      32 B/op	       1 allocs/op
PASS
ok  	competitor/bench	292.970s
